MAG	Taxonomy	Domain	Completeness_checkm	Contamination_checkm	Completeness_DasTool	Contamination_DasTool	Numer of genomoes in dRep cluster	fccB	sulfide_quinone_oxidoreductase_sqr	sulfur_dioxygenase_sdo	aprA	sat	cysC	cysN	thiosulfate_reductase_phsA	dsrA	dsrB	dsrC	dsrD	dsrE	dsrF	dsrH	dsrJ	dsrK	dsrM	dsrO	dsrP	dsrR	dsrS	dsrT	soxA	soxB	soxD	soxX	soxY	soxYZ-like	soxZ	FeFeHydrogenase	FeFeHydrogenase_2	Hydrogenase_Group_1	Hydrogenase_Group_2a	Hydrogenase_Group_2b	Hydrogenase_Group_3b	Hydrogenase_Group_3c	Hydrogenase_Group_3d	Hydrogenase_Group_4	pmoA	pmoB	pmoC	mmoB	mmoD	mcrA	mcrB	mcrC	amoA	Archeael_amoB	Archeael_amoC	nifA_Mo	nifB_Mo	nifH	nitrite_oxidoreductase_nxrA	nitrite_oxidoreductase_nxrB	napA	napB	narG	narH	nrfH	nrfA	nirB	nirD	nirK	nitrite_reductase_nirS	nitric_oxide_reductase_norB	nitric_oxide_reductase_norC	nosD	nosZ	hydrazine_oxidase_hzoA	hydrazine_synthase_hzsA	octR	ureA	ureB	ureC	coxA	coxB	ccoN	ccoO	ccoP	cyoA	cyoD	cyoE	cydA	cydB	qoxA	ndma_methanol_dehydrogenase	madA	madB	fdh_thiol_id	sfh	sgdh	smdh	fae	fmtf	mtmc	fdhA	fdhB	fdhC	carbon_monoxide_dehydrogenase_coxL	carbon_monoxide_dehydrogenase_coxM	carbon_monoxide_dehydrogenase_coxS	rubisco_form_I	rubisco_form_II	rubisco_form_II_III	rubisco_form_III	rubisco_form_IV	Four-hydroxybutyryl-CoA-dehydratase	Four-hydroxybutyryl-CoA-synthetase	codhC	codhD	codh_catalytic	acetate_citrate_lyase_aclA	acetate_citrate_lyase_aclB	hdh	rdh	cld	ars_ox	ars_ox_2	arsC	ars_thioredoxin	ars_glutaredoxin	ygfK	ygfM	sel_mo	nthA	nthB	mtrA	mtrC
M_DeepCast_200m_mx_050	Alphaproteobacteria non LD12	Bacteria	95.29	18.84	98.04	21.57	1		1	2			1	2																						1							1				1	1	2																																		2	1						1	1	1									6	2	1	1																							1									
M_DeepCast_400m_m1_109	Alphaproteobacteria non LD12	Bacteria	38.72	2.16	54.9	1.96	1			1			1	1																						1							1				1	1	1											1						1																	1	2							1	1									1			2																																
K_Offshore_120m_m1_147	Alphaproteobacteria non LD12	Bacteria	85.09	32.79	92.16	39.22	1						1	2																						1							1				1	1	3											1					1	1																	1							2	1	1									4	2	1	3																																
M_DeepCast_65m_m2_266	Alphaproteobacteria non LD12	Bacteria	98.63	1.51	98.04	0	4	1	2		2	2	1			1	1	2		1	1	1	1	1	1	1	1				2	1	1	2			1																												1	1						2											1	1	1	1	1			1									1					1		2	1	1		1				1		2						5														1
K_Offshore_surface_m2_020	Alphaproteobacteria non LD12	Bacteria	98.58	2.37	100	0	6																																																																												1	1						1	1	1																																												
M_surface_7_m2_013	Alphaproteobacteria non LD12	Bacteria	90.11	0.1	96.08	1.96	1																																																																																																																																	
M_surface_10_m2_100	Alphaproteobacteria non LD12	Bacteria	83.02	1.09	98.04	0	9																																																																												1	1						1	1	1																																												
K_Offshore_surface_mx_080	Alphaproteobacteria non LD12	Bacteria	64.1	1.3	86.27	1.96	7																																																																												1	1						1	1	1																																												
K_Offshore_40m_m1_069	Alphaproteobacteria LD12	Bacteria	77.71	3.34	88.24	3.92	7																																																																																																																																	
M_DeepCast_200m_m2_041	Alphaproteobacteria LD12	Bacteria	74.7	2.41	92.16	0	24																																																																												1	1						1																																1														
K_DeepCast_100m_mx_319	Alphaproteobacteria LD12	Bacteria	84.8	27.91	94.12	13.73	1																																																																																			1																																1														
K_DeepCast_150m_m2_191	Alphaproteobacteria LD12	Bacteria	83.73	20.55	90.2	11.76	1																																																																												1							1																																1														
K_DeepCast_0m_mx_190	Alphaproteobacteria LD12	Bacteria	80.23	35.25	88.24	13.73	1																																																																																																																			1														
K_DeepCast_1200m_m1_106	Alphaproteobacteria LD12	Bacteria	63.26	11.45	70.59	7.84	1																																																																												1	1																																																				
K_Offshore_surface_m1_056	Alphaproteobacteria LD12	Bacteria	82.84	10.95	96.08	3.92	1																																																																																																																																	
M_DeepCast_100m_m1_059	Alphaproteobacteria LD12	Bacteria	81.33	21.03	94.12	11.76	1																																																																												1	1						2																																														
M_surface_8_m1_222	Alphaproteobacteria LD12	Bacteria	78.92	19.82	84.31	9.8	1																																																																													1						1																																														
M_DeepCast_50m_m1_052	Alphaproteobacteria LD12	Bacteria	78.86	12.12	92.16	9.8	1																																																																													1																																																				
M_surface_9_m1_039	Alphaproteobacteria LD12	Bacteria	74.59	11.45	92.16	9.8	1																																																																																																																																	
M_DeepCast_10m_m1_219	Alphaproteobacteria LD12	Bacteria	73.82	15.99	80.39	11.76	1																																																																													1						1																																1														
M_DeepCast_400m_m2_260	Alphaproteobacteria LD12	Bacteria	67.4	13.98	84.31	17.65	1																																																																																																																																	
M_DeepCast_65m_mx_239	Alphaproteobacteria LD12	Bacteria	65.87	23.27	78.43	11.76	1																																																																																			1																																														
M_DeepCast_200m_m2_220	CP Altiarchaeota	Archaea	81.82	2.8	89.47	13.16	3																															1																																																															1	1	1										2	3		1																				
K_DeepCast_1200m_m2_191	Armatimonadetes	Bacteria	94.91	0.19	96.08	0	9			1					1																												1	1																							1	1																																						1	2	2	3					1	1	3	1	1	1																	
K_DeepCast_250m_m2_231	Armatimonadetes	Bacteria	92.59	3.4	96.08	7.84	5					1	1																									2		1			1	1		1																																							1	1					1	1												2										1			1	1	1																	
K_Offshore_80m_m1_225	Armatimonadetes	Bacteria	88.89	2.42	98.04	3.92	2																																																																				1	1							1							1																	4	1	2							2						2		1												
K_DeepCast_150m_m2_147	Armatimonadetes	Bacteria	75.26	3.15	90.2	5.88	2			1		1	1																									2																								1																							1	1						1												1										1			1		1																	
K_DeepCast_100m_m2_289	Armatimonadetes	Bacteria	71.63	4.45	76.47	3.92	1																																					1	1																						1	1															1	1																														1		1																				
M_DeepCast_50m_m2_207	Armatimonadetes	Bacteria	55.22	2.08	66.67	9.8	1					1	1																																																																							1						1																								2		1						1		1									1			
M_DeepCast_50m_m2_086	Armatimonadetes	Bacteria	95.83	7.97	92.16	13.73	4			3		3	2																																																						1	1						1									1	1	1	1	1			1														1	1			3	2					1		3								1			1									
M_surface_9_mx_199	Bacteroidetes	Bacteria	99.73	0.54	98.04	0	22			1																																																																																1																								1								1						1								
K_Offshore_40m_m2_287	Bacteroidetes	Bacteria	99.73	0	98.04	2.63	17			1			1	1																																																																								1	1			1														1																																
M_surface_7_m2_242	Bacteroidetes	Bacteria	98.11	0	100	3.92	20			1			1	1																																																																												1																								1													1									
M_surface_9_m1_279	Bacteroidetes	Bacteria	98.09	0.02	98.04	1.96	3			1																																																																																1																																														
K_Offshore_80m_m1_206	Bacteroidetes	Bacteria	97.54	0.74	98.04	1.96	13			1																																																																1	1	1									1	1	1			1														1																																
K_Offshore_40m_m1_251	Bacteroidetes	Bacteria	97.43	4.19	100	5.26	22			1																																																																																1																								1																						
K_Offshore_surface_m2_005	Bacteroidetes	Bacteria	97.28	0	96.08	2.63	16			1																																																																																1																								1																						
K_DeepCast_150m_m2_049	Bacteroidetes	Bacteria	96.77	2.69	100	1.96	5						1	1																								2						1																							1	1																							1	1																2								1											1	1		1						
K_DeepCast_35m_m2_130	Bacteroidetes	Bacteria	96.67	0.4	98.04	1.96	13			1																																																																																1																																														
M_surface_9_m1_271	Bacteroidetes	Bacteria	96.27	0.55	98.04	0	17			1																																																																																1														1																																
M_surface_9_m1_277	Bacteroidetes	Bacteria	96.15	2.36	92.16	5.88	2			1																																																																																1																								1														1								
K_Offshore_surface_m2_247	Bacteroidetes	Bacteria	95.99	1.48	80.39	7.84	10			1				1																																																																												1																																						1								
M_DeepCast_50m_m1_018	Bacteroidetes	Bacteria	95.07	0	94.12	0	13			1																																																																																2																																														
K_Offshore_40m_m1_004	Bacteroidetes	Bacteria	94.83	1.63	96.08	1.96	5			1																																																																													1			1																																														
M_surface_9_mx_152	Bacteroidetes	Bacteria	88.68	5.12	96.08	17.65	1			1																																																																																1																																														
K_DeepCast_0m_m2_211	Bacteroidetes	Bacteria	81.03	31.9	94.12	17.65	1			1																																																																																1																								1													1									
K_DeepCast_250m_m2_333	Bacteroidetes	Bacteria	77.59	38.17	86.27	37.25	1			1																																																																																																								1		1											1									
K_DeepCast_300m_mx_011	Bacteroidetes	Bacteria	32.54	6.17	80.39	13.73	1			1				1																														2	2																																						1							1																																														
M_DeepCast_50m_m2_245	Bacteroidetes	Bacteria	94.37	1.67	98.04	0	10			1																																																																																1																																														
M_DeepCast_65m_mx_068	Bacteroidetes	Bacteria	94.01	0.49	90.2	0	2		1	2																																																			1	1												1	1	1									1	1	1			1																																						1								
K_Offshore_0m_m2_159	Bacteroidetes	Bacteria	92.16	34.1	98.04	11.76	1			1			1	1																																																																												1																								3													1									
K_DeepCast_100m_m2_024	Bacteroidetes	Bacteria	90.52	33.79	98.04	21.57	1			1			1																																																																													1																																					1									
K_DeepCast_100m_m1_107	Bacteroidetes	Bacteria	42.1	1.43	52.94	2.63	1			1																																																																																1																																														
M_surface_9_m2_088	Bacteroidetes	Bacteria	93.91	0.54	100	1.96	18			1																																																																																1																																														
M_surface_9_m1_282	Bacteroidetes	Bacteria	93.6	0	100	1.96	21			1																																																																																1																																														
K_DeepCast_35m_m2_065	Bacteroidetes	Bacteria	93.1	0.59	98.04	5.88	20																																																																																			1														1																								1								
K_DeepCast_0m_m2_222	Bacteroidetes	Bacteria	93.07	0	94.12	1.96	23			1																																																																																1																																														
M_surface_8_m1_077	Bacteroidetes	Bacteria	87.57	19.98	96.08	5.88	1			1			1	1																																																																																																				2													1	1								
M_surface_9_m1_296	Bacteroidetes	Bacteria	92.62	0.5	98.04	2.63	9			1																																																																																1																																														
M_DeepCast_50m_m2_146	Bacteroidetes	Bacteria	92.44	3.27	96.08	11.76	9			1																																																																																1																																						1								
M_surface_9_m2_059	Bacteroidetes	Bacteria	92.16	1.44	100	5.88	8			1			1	1																																																																																																				1																						
M_surface_9_m2_064	Bacteroidetes	Bacteria	92.06	1.08	90.2	9.8	1			1				1																																																																												1																																					1	1								
M_surface_7_m2_191	Bacteroidetes	Bacteria	90.64	0.25	98.04	0	18																																																																																																																																	
M_surface_9_m1_241	Bacteroidetes	Bacteria	84.73	0.74	90.2	1.96	21			1																																																																																1																										1																				
M_DeepCast_50m_m1_285	Bacteroidetes	Bacteria	84.13	2.32	98.04	7.89	3			1																																																																											1	1	1			1																																														
M_surface_9_m1_013	Bacteroidetes	Bacteria	81.77	0.25	90.2	2.63	22																																																																																																																																	
K_DeepCast_150m_m2_259	Bacteroidetes	Bacteria	80.21	3.1	76.47	0	2							1				1																				1								1																		1			1																1	1							1	1																															1													
M_surface_8_m2_110	Bacteroidetes	Bacteria	78.51	1.92	92.16	3.92	10			1																																																																																1																																						1								
M_surface_9_mx_130	Bacteroidetes	Bacteria	78.06	2.89	94.12	5.88	2																																																																																			1																																														
K_DeepCast_0m_m2_115	Bacteroidetes	Bacteria	78.05	2.7	92.16	7.84	2																																																																																			1																								1													1									
K_DeepCast_100m_m2_162	Bacteroidetes	Bacteria	74.61	3.69	92.16	9.8	3		1				1					2																											1																														1	1							1	1	1	1	1			1																										2												1		1						
K_DeepCast_100m_m2_150	Bacteroidetes	Bacteria	72.43	0	92.16	2.63	7			1																																																																																																								1													1									
M_DeepCast_50m_m1_274	Bacteroidetes	Bacteria	70.16	3.57	90.2	11.76	1			1			1																																																															1														1																								1		1											1									
M_surface_10_m2_196	Bacteroidetes	Bacteria	65.73	1.5	62.75	7.89	1		1	1																																																																											1	1	1																																																	
K_DeepCast_35m_m1_052	Bacteroidetes	Bacteria	65.55	3.33	62.75	3.92	12			1																																																																																1																																														
K_Offshore_0m_mx_046	Bacteroidetes	Bacteria	61.06	3.6	80.39	11.76	1																																																																																			1																																														
K_Offshore_40m_m2_149	Bacteroidetes	Bacteria	87.7	17.44	94.12	15.69	1			1																																																																																2																																						3								
M_surface_6_mx_005	Bacteroidetes	Bacteria	72.56	27.3	56.86	7.89	1			1																																																																																1																																						1								
K_Offshore_surface_mx_261	Bacteroidetes	Bacteria	72.56	8.47	90.2	11.76	1			1																																																																																																																						1								
M_surface_10_m2_039	Bacteroidetes	Bacteria	72.26	7.05	90.2	11.76	1			1																																																																																1																																														
K_Offshore_120m_mx_094	Bacteroidetes	Bacteria	68.92	5.9	92.16	9.8	1			1																																																																																1																																						1								
M_DeepCast_100m_mx_282	Bacteroidetes	Bacteria	65.32	19.76	88.24	9.8	1			1																																																																										1						2																																						1								
M_DeepCast_100m_m1_345	Bacteroidetes	Bacteria	61.32	17.52	80.39	9.8	1			2																																																																																																																						1								
M_surface_8_mx_204	Bacteroidetes	Bacteria	52.63	12.86	56.86	3.92	1			1																																																																																																																						1								
M_surface_10_m1_080	Bacteroidetes	Bacteria	22.98	1.62	66.67	1.96	1			1																																																																																																																						1								
M_DeepCast_100m_m2_350	Bacteroidetes	Bacteria	95.68	23.95	100	25.49	1			1			1	1																																																																												2																								2													1									
M_DeepCast_10m_m1_232	Bacteroidetes	Bacteria	81.36	18.21	74.51	9.8	1			1			1	1																																																																												1																								2													1									
K_DeepCast_250m_mx_282	Bacteroidetes	Bacteria	36.25	6.13	58.82	11.76	1									1																						1																													2	1																							1																	2	1										1																	1
K_DeepCast_100m_m1_299	Bacteroidetes	Bacteria	25.33	8.68	60.78	3.92	1																																																																																																																																	
K_DeepCast_100m_mx_053	Bacteroidetes	Bacteria	13.17	1.08	50.98	0	1																																																																											1																																								1														
M_surface_6_mx_051	Bacteroidetes	Bacteria	54.05	7.61	78.43	3.92	1						1																																																																																																					1																						
M_surface_8_mx_127	Bacteroidetes	Bacteria	41.28	14.67	76.47	15.69	1																																																																																			1																														1																
M_surface_7_m1_092	Bacteroidetes	Bacteria	31.08	1.89	78.43	2.63	1																																																																																																											1																						
M_surface_7_m1_073	Bacteroidetes	Bacteria	24.86	2.16	66.67	0	2																																																																																																											1													1									
M_surface_10_m1_166	Bacteroidetes	Bacteria	23.68	0.81	56.86	0	1																																																																																																											1																						
K_DeepCast_0m_mx_011	Bacteroidetes	Bacteria	12.43	0	62.75	0	1																																																																																																																																	
K_DeepCast_0m_m1_127	Bacteroidetes	Bacteria	24.6	0.95	64.71	0	1																																																																																																																																	
M_DeepCast_10m_m1_138	Bacteroidetes	Bacteria	12.3	0	60.78	0	4																																																																																																																																	
M_surface_10_mx_103	Bacteroidetes	Bacteria	66.63	14.95	78.43	13.73	1																																																																																			2																								1														1								
K_Offshore_surface_m2_088	Bacteroidetes	Bacteria	80.35	5.11	92.16	3.92	1																																																																																			1																																						1								
K_DeepCast_35m_m2_004	Bacteroidetes	Bacteria	79.48	13.31	88.24	5.88	1																																																																																			1																																						2								
K_DeepCast_300m_m1_038	Bacteroidetes	Bacteria	68.92	17.48	90.2	17.65	1																																																																																			1																																						3								
K_Offshore_40m_mx_286	Bacteroidetes	Bacteria	65.94	10.48	72.55	13.73	1																																																																																																																																	
M_DeepCast_100m_mx_304	Bacteroidetes	Bacteria	59.72	21.27	72.55	11.76	1																																																																																			1																																						1								
M_DeepCast_10m_mx_163	Bacteroidetes	Bacteria	48.86	15.98	58.82	11.76	1																																																																																			1																																														
K_Offshore_0m_mx_172	Bacteroidetes	Bacteria	48.47	5.76	60.78	9.8	1																																																																																																																																	
M_surface_10_m2_091	Bacteroidetes	Bacteria	45.05	1.9	74.51	0	5																																																																																																																																	
K_Offshore_40m_m2_146	Bacteroidetes	Bacteria	77.57	12.16	92.16	3.92	1						1	1																																																																																																				1													1									
M_DeepCast_100m_mx_212	Bacteroidetes	Bacteria	33.55	4.62	49.02	3.92	1																																																																																	1		1																								1		1																				
M_DeepCast_10m_mx_049	Bacteroidetes	Bacteria	11.77	0	52.94	0	1																																																																																																																																	
K_DeepCast_250m_m2_015	CP Bathyarchaeota	Archaea	83.96	3.27	89.47	13.16	4																															1						1																																																												1				2	2														1													
K_DeepCast_250m_mx_298	CP Bathyarchaeota	Archaea	55.9	1.87	65.79	5.26	2																																				1	1																																																									1													2			1																			
K_Offshore_surface_m1_010	Betaproteobacteria	Bacteria	91.14	1.28	92.16	2.63	5	1																							2	1	2	2	1																																																1	1						1														1		1										1						2														
M_DeepCast_65m_m2_058	Betaproteobacteria	Bacteria	74.83	11.56	86.27	21.57	1	1	1	1		1				1	1	2				1	1	1	1	1	1							1	1		1																								1		1	1					1			3	1	1									1	1	1	2	2			2					1	2			1					1		1	3		2	1				2		3						2				1										
M_surface_10_mx_121	Betaproteobacteria	Bacteria	76.46	40.35	92.16	31.37	1		1	1																							1				1																												1	1														2	2	3			1		1			3														2			3		2	1				1		3						3														
M_surface_9_m1_249	Betaproteobacteria	Bacteria	99.14	0.26	100	0	22	1		1																					1	1	1	1	1		1																																											1	1	1	1	1						1														1		1	1		1					1	1	5						1												1		
K_DeepCast_65m_m2_129	Betaproteobacteria	Bacteria	98.46	1.66	100	3.92	13	1			1	1																				1		1	2		1																																											1	1	1	1							1														1		1	4		1					1	1	1						2	1										1	1		
K_Offshore_40m_m1_237	Betaproteobacteria	Bacteria	98.36	4.09	98.04	0	13	1		1																					2	1	1	2	1		2													1																														1	1	1	1	1						1																	3	1	2					1		4						1														
K_DeepCast_150m_m1_387	Betaproteobacteria	Bacteria	97.71	2.19	100	2.63	9	4	1		1	2	2			1	1	6		1	1	1	1	1	1	1	1	1	1		3	1	1	3			2			2		1		1	1																		3	2	1	1		1	1	1		1	1	1					1						3	3	4																							1				1																						
M_DeepCast_65m_m2_126	Betaproteobacteria	Bacteria	97.44	0	100	0	3	1						1																						1	1																												1	1			1	1													1	1	1	1	1			1											1	1	1	1																							1									
K_Offshore_40m_mx_035	Betaproteobacteria	Bacteria	96.88	3.92	100	5.88	21	1		1				1																			1				1													1																														2	2	2	1	1	1		1			1														1				1		1				2		2						3	1													
K_Offshore_80m_m1_178	Betaproteobacteria	Bacteria	96.56	1.26	100	2.63	6	1	2	1			1			1	1	5		1	1	1	1	1	1	1	1	1			1	1			1		1																																		1	2													1	1	1			2	1	1												1		1	5	1	1					1								4			1	1							1			1
M_surface_7_m1_304	Betaproteobacteria	Bacteria	95.83	3.29	100	5.26	21	2	1	1																					2	1	1	2	1		2																																											1	1	2	1	1			1			1														1	1	1	8	2	4					1		4						2	2										1			
M_DeepCast_100m_m1_373	Betaproteobacteria	Bacteria	95.73	1.81	100	5.26	11	2	1		1	1		1		1	1	4		1	1	1	1	1	1	1		1			1	1			2		2			1		1			1																		1	1								2			3	1			1	1	1	1		1	2	1	1			1														1	1	1	1	1	1		1			2		4						1			1	1										
K_Offshore_80m_m2_113	Betaproteobacteria	Bacteria	95.18	0.33	96.08	5.88	4	2		1	1	1																			1			1	1		3																																1	1										1	1	1	1	1						1														1	1	1	9	1	5						1							1											2	1		
M_DeepCast_100m_m2_214	Betaproteobacteria	Bacteria	95.12	0.41	98.04	1.96	23	1		1																					1	1	1	1	1		1																																											1	1	1	1	1			1			1															1	1	5		3							2						2														
K_DeepCast_35m_m1_286	Betaproteobacteria	Bacteria	94.29	2.05	92.16	5.88	22	1		1				1																	1	1	1	1	1		1								1																																			1	1	1			1	1	2			1															1	1	4	2	5					1		3						2											1	1		
K_DeepCast_35m_m1_018	Betaproteobacteria	Bacteria	93.23	1.39	96.08	0	22	1																							1	1	1	1	1		1																																														1	1						1														1	1	1				1				1								1														
K_DeepCast_150m_m2_250	Betaproteobacteria	Bacteria	84.47	1.58	100	0	11	2			1	1				1	1	4		1	1	1	1	1	1	1	1	1	1		2	1	1	2	1		1			1																							1	1	1	1		1				2	1	1	2	1			2						2	2	2																							1	1			2																						
K_DeepCast_35m_m2_259	Betaproteobacteria	Bacteria	77.09	4.59	92.16	3.92	5	1			1	1																				1		1	2		1																												1	1														1	1	1																						1		1	3		2					1		2						2														
K_Offshore_40m_m1_259	Betaproteobacteria	Bacteria	72.5	6.71	54.9	7.89	6		1	1						1	1	2		1	1	1	1		1	1	1	1																																																				1	1	1	1	1			1			1																1	2		1							3						1	1													
K_Offshore_80m_m2_139	Betaproteobacteria	Bacteria	88.89	12.69	76.47	13.73	1	2		1				1																	2	1	1	3	2	5	4										1	1	1																1	1														2	2	4	2	1	1	1	1			1					1	2					1	1	2	1	1	1	4	2	2					2		3						3					1						1			
K_Offshore_120m_m2_141	Betaproteobacteria	Bacteria	84.1	9.85	80.39	13.73	3	2		1				1																	2	2	1	3	2	3	2										1	1	1	1																														3	3	2	1							1					1	1					1	2	1	1			2	2						1		1						3											1			
K_Offshore_120m_m1_203	Betaproteobacteria	Bacteria	74.14	2.06	76.47	9.8	1	1	1					1																	1	1	2	1	1		1																												2	1			1	1														1	2	1	1			1																				1				3		1																				
K_Offshore_80m_m2_043	Betaproteobacteria	Bacteria	73.78	3.4	84.31	5.88	1	1		1			1	1																		1	1		1																																													1	1	1								1									1					1			4		1					3		1						2					1									
K_Offshore_40m_m1_292	Betaproteobacteria	Bacteria	73.3	1.33	78.43	3.92	4	1																							1			1			1																																														1	1																						1	1																													
K_Offshore_40m_m2_080	Betaproteobacteria	Bacteria	90.98	7.08	88.24	13.73	19		1	1																					1	1	1	1	1		1																																											1	1	1			1	2	1			1	2																4		3					2		3						2											1	1		
M_surface_10_m1_315	Betaproteobacteria	Bacteria	68.73	2.23	78.43	5.88	1			1				1																			1																																															1	1	1	1	1	1	1	1			1																								1		3						1														
K_Offshore_40m_m2_212	Betaproteobacteria	Bacteria	55.83	3.74	80.39	9.8	1				1																					1		1																															1	1														1	1	1								1														1		1	2		2					1	1	2						1														
M_surface_6_mx_048	Betaproteobacteria	Bacteria	35.31	5.18	74.51	21.57	1			1																																																																						2	2	2									1				1	1											2		1							1						1														
M_surface_10_m1_233	Betaproteobacteria	Bacteria	37.23	4.26	52.94	10.53	1	1		1				2																																																																					1	1	1														1										1					1		1											1									
K_Offshore_40m_m2_045	Betaproteobacteria	Bacteria	88.88	37.23	84.31	13.16	1			1				2																																	1	1	1																																		1	1	1					1														1			3	4	3					2		2						3														
K_Offshore_surface_m2_066	Betaproteobacteria	Bacteria	83.47	16.24	90.2	15.69	1			1				1																																	1	1	1																																		1	1	1					1														1			2	4	1					2		2						2														
K_Offshore_0m_mx_098	Betaproteobacteria	Bacteria	85.88	47.8	76.47	23.53	1							1																																	1	1	1																1															2	2	2	1	1	1	2	2			1														2			3	1	1					1		2						2														
K_Offshore_surface_m1_265	Betaproteobacteria	Bacteria	73.06	15.32	86.27	11.76	1	1			2	1				1	1	2		1	1	1	1	1	1	1	1	1			1	1		1	2		2																																											2	1	1	1	1						1																1	3							1	1	1						2											1			
K_Offshore_40m_mx_206	Betaproteobacteria	Bacteria	31.58	5.54	50.98	5.26	1	1					1	1																	2			1																																														2	2	2			2	1	1																																			1														
K_Offshore_surface_m1_273	Betaproteobacteria	Bacteria	67.53	6.1	86.27	7.89	3	1					1	1																			1				1																																											2	2	2	1	1						1														1										2		3						1														
K_Offshore_40m_mx_130	Betaproteobacteria	Bacteria	56.98	12.35	92.16	15.69	1	1																									1				1																												1	1																			1	1	1																													1						2														
K_Offshore_0m_m1_114	Betaproteobacteria	Bacteria	59.34	17.53	66.67	11.76	1	1																													1																																															3						1																	4		3					1		1																				
M_surface_6_m1_036	Betaproteobacteria	Bacteria	28.64	1.56	47.06	3.92	1				1	1					1			1						1						1		1	1																															1														1	1																									1	1							1		1																				
K_Offshore_surface_m2_092	Betaproteobacteria	Bacteria	68.85	6.12	88.24	5.88	5							1																	1		1	1	1		1																																											1	1			1			1			1																	2	1	3																								1	1		
K_Offshore_0m_mx_055	Betaproteobacteria	Bacteria	45.26	7.06	78.43	15.69	1	2						1																			2				2																																													2																						1										1		2						1														
M_surface_7_m1_164	Betaproteobacteria	Bacteria	20.94	0	58.82	0	22																																																																																																						1																											
M_DeepCast_65m_m1_265	Calditrichaeota	Bacteria	97.8	0	92.16	0	2																																					1																					1	1		1															1	1						1																	1	1	1					2														1								
K_DeepCast_250m_m2_227	Calditrichaeota	Bacteria	97.19	2.2	92.16	5.26	6			1	1	1				1	1	2	1				1	1	1	1	1			1														1																																																																						2								1														
M_DeepCast_400m_m2_340	Calditrichaeota	Bacteria	57.03	0	47.06	3.92	2			1																																																																																	2	1																	2																											
K_DeepCast_100m_mx_254	Calditrichaeota	Bacteria	81.39	15.3	90.2	9.8	2				1	1				1		1					1			1											1						1																																1	1							1							1																								1														1								
K_DeepCast_35m_m1_012	Chlamydiae	Bacteria	93.24	1.77	92.16	3.92	6			1																																																																														1	1	1	1	1																																												
M_surface_7_m1_001	Chlamydiae	Bacteria	89.3	2.88	90.2	7.84	2																																																																																	1		1	1	1																						1																						
M_surface_9_m2_137	Chlamydiae	Bacteria	89.23	2.23	90.2	1.96	2																																				1																																													1	1	1	1	1																						1	1																					
K_DeepCast_35m_m2_096	Chlamydiae	Bacteria	88.51	0	94.12	0	20																																																																																				1	1																																												
K_DeepCast_35m_m2_204	Chlamydiae	Bacteria	87.16	0.34	90.2	0	7																																																																																				1	1																																												
M_DeepCast_50m_m2_029	Chlamydiae	Bacteria	76.45	1.58	78.43	0	2																																																																																		1	1	1	1																																												
M_DeepCast_50m_m2_194	Chlamydiae	Bacteria	60.59	0.68	49.02	1.96	1						1																																																																											1																																																
K_DeepCast_35m_m1_073	Chlamydiae	Bacteria	57.58	1.05	47.06	3.92	2																																																																																					1																																												
K_Offshore_120m_m2_055	Chlamydiae	Bacteria	80.11	8.11	82.35	0	1																																																																																																																																	
M_DeepCast_50m_m2_212	Chlamydiae	Bacteria	38.38	0.68	43.14	0	1																																																																																		1		1	1																																												
M_DeepCast_65m_m2_268	Chlorobi	Bacteria	99.45	0.83	100	2.63	9	1	1	1	1	1	1	1		1	1	1		1	1	1	1	1	1	1	1										1			1			1															1	1	1																									1	1	1																											2		1				1	1	1						1								
K_DeepCast_1200m_m2_283	Chlorobi	Bacteria	97.79	4.42	100	3.92	9	1	1					1	1	1	1	1		1	1	1	1	1	1	1	1										1			1			1															1	1	1																			1						1	1	1																											2		1			1	1	1	1						1								
K_DeepCast_300m_mx_197	Chloroflexi	Bacteria	35.66	11.92	68.63	17.65	1			1																	1																		2																																																														1	1	2	1				1		3			1																	
K_Offshore_80m_m2_079	Chloroflexi	Bacteria	99.67	1.19	98.04	5.26	2					1	1																																																										2												1	1						1														1			2	1								1						1		1												
K_Offshore_80m_m1_189	Chloroflexi	Bacteria	97.69	4.95	98.04	3.92	5																																																						1	1									1																			1															1	1	4	3	3					2								2														
K_Offshore_120m_m2_146	Chloroflexi	Bacteria	97.69	0.69	98.04	0	5					1	1																								1																								1	1																					1	2						1																	3	2	2													1		1												
K_Offshore_80m_m2_218	Chloroflexi	Bacteria	97.03	1.68	96.08	5.26	4			2		1	1																																																1	1									1												1	1						1																	2	2	2					1	1									1												
K_DeepCast_65m_m2_033	Chloroflexi	Bacteria	96.7	1.19	98.04	2.63	4			1		1	1																																																1	1																		1	1	1	1	2						1																	7	4	4													3		1												
M_DeepCast_50m_m2_018	Chloroflexi	Bacteria	96.7	0.33	94.12	2.63	14			1		1																																																	1	1																					1	1						1														1			4	3	3					1								3		1									1	1		
K_Offshore_80m_m2_084	Chloroflexi	Bacteria	96.7	0	98.04	0	2																																																																1												1	1						1																	2	1	2					1								2		1									1			
K_DeepCast_250m_m2_061	Chloroflexi	Bacteria	95.91	4.91	98.04	10.53	8		2			1	1			1	1	2	1					1	1																		1	1																					1	1	1	1				1											1	1			2			2	1	1													1		2	6	7					2		2	1		1				1							1	1	1				
