NCBI Genome Submission ID	NCBI BioSample Submission ID	Genome (MAG Identifier)	TaxAss-kingdom	TaxAss-phylum	TaxAss-class	TaxAss-order	TaxAss-lineage	TaxAss-clade	TaxAss-tribe	Congruent Taxonomy	Candidate phyla	DPANN	Domain	Number of MAG in cluster dRep	Completeness DasTool	Contamination DasTool	Taxonomy GTDB-Tk	Taxonomy NCBI	Strain name	Genome completeness CheckM	Genome contamination CheckM	Strain heterogeneity CheckM	16S rRNA phylogeny CheckM	Number of ambiguous bases	Number of contigs	Number of  predicted genes	Number of scaffolds	Coding density	GC	GC std	Genome size (bp)	Longest contig	Longest scaffold	Mean contig length	Mean scaffold length	N50 (contigs)	N50 (scaffolds)	Translation table	tRNAs decoding Standard 20 AA	Selenocysteine tRNAs	Possible suppressor tRNAs	tRNAs with undetermined/unknown isotypes	Predicted pseudogenes	Total tRNAs
VGCN00000000	SAMN10966322	M_DeepCast_100m_m1_138								Alphaproteobacteria non LD12			Bacteria	2	50.98	3.92	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__	d__Bacteria;p__;c__;o__Rhodobacterales;f__;g__;s__	Rhodobacterales bacterium M_DeepCast_100m_m1_138 [Order]	34.9	0.86	25		0	430	1233	430	0.934	0.70	0	952735	5825	5825	2216	2216	2225	2225	11	11	0	0	0	0	11
VGEI00000000	SAMN10966369	K_Offshore_80m_m2_053	Bacteria(100)	Proteobacteria(100)	Alphaproteobacteria(100)	unclassified	unclassified	unclassified	unclassified	Alphaproteobacteria non LD12			Bacteria	5	98.04	7.89	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium K_Offshore_80m_m2_053 [Domain]	92.9	1.59	100	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;I-10;uncultured bacterium	0	671	4509	671	0.918	0.66	0	4109251	50076	50076	6124	6124	8287	8287	11	30	0	0	0	1	31
VGEK00000000	SAMN10966371	K_Offshore_80m_m2_081								Alphaproteobacteria non LD12			Bacteria	1	68.63	11.76	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium K_Offshore_80m_m2_081 [Domain]	62.52	7.53	3.23		0	1691	5665	1691	0.929	0.69	0	4759417	11104	11104	2815	2815	2999	2999	11	21	0	0	1	1	23
VGEN00000000	SAMN10966374	K_Offshore_80m_m2_107	Bacteria(94)	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Alphaproteobacteria non LD12			Bacteria	9	96.08	2.63	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium K_Offshore_80m_m2_107 [Domain]	96.96	4.39	43.75		0	331	4988	331	0.924	0.66	0	4851654	87882	87882	14658	14658	22743	22743	11	42	0	1	2	0	45
VGEW00000000	SAMN10966383	K_Offshore_surface_m1_194								Alphaproteobacteria non LD12			Bacteria	19	96.08	5.88	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium K_Offshore_surface_m1_194 [Domain]	96.16	5.39	68.42		0	692	4396	692	0.938	0.72	0	4030933	34488	34488	5825	5825	8622	8622	11	38	0	0	0	0	38
VGDL00000000	SAMN10966346	K_Offshore_40m_mx_105	Bacteria(93)	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Alphaproteobacteria non LD12			Bacteria	18	96.08	3.92	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__	d__Bacteria;p__;c__;o__;f__Acetobacteraceae;g__;s__	Acetobacteraceae bacterium K_Offshore_40m_mx_105 [Family]	99	1	100		0	131	3294	131	0.936	0.62	0	3253286	131761	131761	24834	24834	55653	55653	11	40	0	0	0	0	40
VGEC00000000	SAMN10966363	K_Offshore_80m_m1_082	Bacteria(100)	Proteobacteria(100)	Alphaproteobacteria(100)	unclassified	unclassified	unclassified	unclassified	Alphaproteobacteria non LD12			Bacteria	9	54.9	0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium K_Offshore_80m_m1_082 [Domain]	21.89	0	0	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;uncultured;uncultured bacterium	0	46	663	46	0.893	0.65	0	596733	102589	102589	12972	12972	20651	20651	11	15	0	0	0	0	15
VGDM00000000	SAMN10966347	K_Offshore_40m_mx_120	Bacteria(93)	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Alphaproteobacteria non LD12			Bacteria	18	100	7.84	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__	d__Bacteria;p__;c__;o__;f__Acetobacteraceae;g__;s__	Acetobacteraceae bacterium K_Offshore_40m_mx_120 [Family]	99.97	7.96	77.78		0	196	3865	196	0.920	0.61	0	3547803	300942	300942	18101	18101	88933	88933	11	45	0	0	0	0	45
VGEU00000000	SAMN10966381	K_Offshore_80m_m2_191	Bacteria(100)	Proteobacteria(98)	Alphaproteobacteria(95)	unclassified	unclassified	unclassified	unclassified	Alphaproteobacteria non LD12			Bacteria	3	100	0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Defluviicoccales;f__Defluviicoccaceae;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium K_Offshore_80m_m2_191 [Domain]	98.04	1.52	20	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;uncultured bacterium	0	247	4023	247	0.923	0.70	0	3927634	193297	193297	15901	15901	25692	25692	11	38	0	1	0	0	39
VGCF00000000	SAMN10966314	M_surface_7_m2_013								Alphaproteobacteria non LD12			Bacteria	1	96.08	1.96	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium M_surface_7_m2_013 [Domain]	90.11	0.1	0		0	64	793	64	0.861	0.45	0	790526	79048	79048	12352	12352	17517	17517	11	41	0	0	0	0	41
VGCI00000000	SAMN10966317	M_surface_10_m2_100	Bacteria(100)	Proteobacteria(100)	Alphaproteobacteria(100)	Paracaedibacterales(100)	Paracaedibacteraceae(100)	Candidatus_Paracaedibacter(100)	unclassified	Alphaproteobacteria non LD12			Bacteria	9	98.04	0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Paracaedibacterales;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium M_surface_10_m2_100 [Domain]	83.02	1.09	0	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiales Incertae Sedis;Candidatus Odyssella;uncultured bacterium	0	15	1628	15	0.887	0.40	0	1802957	333508	333508	120197	120197	163060	163060	11	42	0	0	2	1	45
VGEY00000000	SAMN10966385	K_Offshore_surface_mx_080	Bacteria(92)	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Alphaproteobacteria non LD12			Bacteria	7	86.27	1.96	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Paracaedibacterales;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium K_Offshore_surface_mx_080 [Domain]	64.1	1.3	0		0	35	1418	35	0.891	0.40	0	1546259	303495	303495	44179	44179	77770	77770	11	32	0	0	1	1	34
VGDU00000000	SAMN10966355	M_DeepCast_65m_m1_170								Alphaproteobacteria non LD12			Bacteria	1	52.94	0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__UBA1997;g__UBA2645;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium M_DeepCast_65m_m1_170 [Domain]	35.48	0.06	0		0	182	544	182	0.934	0.43	0	396055	4528	4528	2176	2176	2172	2172	11	6	0	0	0	0	6
VGCG00000000	SAMN10966315	M_surface_8_m2_185								Alphaproteobacteria non LD12			Bacteria	24	96.08	0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__	d__Bacteria;p__;c__;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__	Pelagibacter sp. M_surface_8_m2_185 [Genus]	81.43	0.63	50		0	81	1081	81	0.954	0.29	0	960826	96429	96429	11862	11862	27184	27184	11	24	0	0	0	1	25
VGDW00000000	SAMN10966357	M_DeepCast_65m_m1_296								Alphaproteobacteria non LD12			Bacteria	1	100	35.29	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__	d__Bacteria;p__;c__;o__Sneathiellales;f__;g__;s__	Sneathiellales bacterium M_DeepCast_65m_m1_296 [Order]	98.28	45.12	92.5		0	1294	7491	1294	0.938	0.64	0	6627931	56355	56355	5122	5122	6811	6811	11	72	0	0	0	0	72
VGCQ00000000	SAMN10966325	K_Offshore_120m_m2_043								Alphaproteobacteria non LD12			Bacteria	4	94.12	7.84	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__	d__Bacteria;p__;c__;o__;f__;g__Reyranella;s__	Reyranella sp. K_Offshore_120m_m2_043 [Genus]	92.03	2.37	11.11		0	648	5393	648	0.926	0.67	0	5014335	74845	74845	7738	7738	10823	10823	11	34	0	1	0	0	35
VGEQ00000000	SAMN10966377	K_Offshore_80m_m2_146								Alphaproteobacteria non LD12			Bacteria	2	54.9	1.96	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium K_Offshore_80m_m2_146 [Domain]	70.05	0.74	66.67		0	605	2405	605	0.931	0.65	0	1947366	15649	15649	3219	3219	3554	3554	11	23	0	0	0	0	23
VGCJ00000000	SAMN10966318	M_surface_10_m2_180	Bacteria(100)	Proteobacteria(100)	Alphaproteobacteria(100)	Rhizobiales(100)	Beijerinckiaceae(100)	FukuN57(100)	unclassified	Alphaproteobacteria non LD12			Bacteria	20	98.04	3.92	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__;s__	d__Bacteria;p__;c__;o__;f__Beijerinckiaceae;g__;s__	Beijerinckiaceae bacterium M_surface_10_m2_180 [Family]	93.17	1.12	100	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;FukuN57;uncultured bacterium	0	177	2520	177	0.899	0.52	0	2383215	105147	105147	13464	13464	22077	22077	11	43	0	0	0	0	43
VGDI00000000	SAMN10966343	K_Offshore_40m_m1_243								Alphaproteobacteria non LD12			Bacteria	3	76.47	2.63	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__;s__	d__Bacteria;p__;c__;o__;f__Beijerinckiaceae;g__;s__	Beijerinckiaceae bacterium K_Offshore_40m_m1_243 [Family]	77.47	1.1	25		0	848	3442	848	0.903	0.59	0	2894369	19074	19074	3413	3413	3716	3716	11	27	0	0	0	1	28
VGCL00000000	SAMN10966320	K_DeepCast_100m_mx_141								Alphaproteobacteria non LD12			Bacteria	5	100	3.92	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	d__Bacteria;p__;c__;o__;f__Beijerinckiaceae;g__Methylocystis;s__	Methylocystis sp. K_DeepCast_100m_mx_141 [Genus]	94.86	7.9	42.55		0	846	4503	846	0.877	0.63	0	3972400	29333	29333	4696	4696	6970	6970	11	42	0	0	1	3	46
VGCU00000000	SAMN10966329	M_DeepCast_200m_mx_060								Alphaproteobacteria non LD12			Bacteria	12	80.39	2.63	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	d__Bacteria;p__;c__;o__;f__Beijerinckiaceae;g__Methylocystis;s__	Methylocystis sp. M_DeepCast_200m_mx_060 [Genus]	76.69	6.18	65.62		0	525	3246	525	0.871	0.61	0	2964023	36361	36361	5646	5646	8970	8970	11	45	0	0	0	1	46
VGCV00000000	SAMN10966330	K_DeepCast_250m_m2_101								Alphaproteobacteria non LD12			Bacteria	12	80.39	25.49	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	d__Bacteria;p__;c__;o__;f__Beijerinckiaceae;g__Methylocystis;s__	Methylocystis sp. K_DeepCast_250m_m2_101 [Genus]	57.45	8.99	71.43		0	905	2691	905	0.884	0.63	0	2100593	14068	14068	2321	2321	2303	2303	11	22	0	0	0	1	23
VGDS00000000	SAMN10966353	M_DeepCast_65m_m1_019								Alphaproteobacteria non LD12			Bacteria	2	100	0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	d__Bacteria;p__;c__;o__;f__Beijerinckiaceae;g__Methylocystis;s__	Methylocystis sp. M_DeepCast_65m_m1_019 [Genus]	89.77	1.11	25		0	183	2079	183	0.875	0.49	0	2077959	65528	65528	11355	11355	18586	18586	11	30	0	0	0	2	32
VGDG00000000	SAMN10966341	M_DeepCast_400m_m2_294								Alphaproteobacteria non LD12			Bacteria	2	49.02	3.92	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	d__Bacteria;p__;c__;o__Sphingomonadales;f__Sphingomonadaceae;g__;s__	Sphingomonadaceae bacterium M_DeepCast_400m_m2_294 [Family]	46.98	3.19	21.05		0	598	1982	598	0.919	0.67	0	1508381	53813	53813	2522	2522	2431	2431	11	20	0	0	0	1	21
VGDT00000000	SAMN10966354	M_DeepCast_65m_m1_022								Alphaproteobacteria non LD12			Bacteria	12	98.04	0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	d__Bacteria;p__;c__;o__;f__Beijerinckiaceae;g__Methylocystis;s__	Methylocystis sp. M_DeepCast_65m_m1_022 [Genus]	93.83	3.64	57.89		0	152	3286	152	0.878	0.62	0	3284056	351366	351366	21606	21606	58048	58048	11	46	0	0	0	2	48
VGDY00000000	SAMN10966359	M_DeepCast_65m_m2_041								Alphaproteobacteria non LD12			Bacteria	5	100	1.96	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	d__Bacteria;p__;c__;o__;f__Beijerinckiaceae;g__Methylocystis;s__	Methylocystis sp. M_DeepCast_65m_m2_041 [Genus]	98.89	6.65	55.88		0	295	4031	295	0.870	0.63	0	3951533	108451	108451	13395	13395	22209	22209	11	44	0	0	1	3	48
VGEB00000000	SAMN10966362	M_DeepCast_65m_mx_036	Bacteria(89)	Proteobacteria(83)	unclassified	unclassified	unclassified	unclassified	unclassified	Alphaproteobacteria non LD12			Bacteria	12	100	0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	d__Bacteria;p__;c__;o__;f__Beijerinckiaceae;g__Methylocystis;s__	Methylocystis sp. M_DeepCast_65m_mx_036 [Genus]	96.99	2.85	33.33		0	209	3127	209	0.880	0.63	0	3155036	131886	131886	15096	15096	28422	28422	11	40	0	0	0	1	41
VGDX00000000	SAMN10966358	M_DeepCast_65m_m2_016	Bacteria(100)	Proteobacteria(100)	Alphaproteobacteria(100)	Rhizobiales(100)	Methyloligellaceae(100)	unclassified	unclassified	Alphaproteobacteria non LD12			Bacteria	11	100	0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__	d__Bacteria;p__;c__;o__;f__;g__Methyloceanibacter;s__	Methyloceanibacter sp. M_DeepCast_65m_m2_016 [Genus]	97.58	0.1	0	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae;uncultured;uncultured Rhizobiales bacterium	0	31	2516	31	0.901	0.61	0	2506200	399307	399307	80845	80845	145141	145141	11	48	0	0	1	0	49
VGEP00000000	SAMN10966376	K_Offshore_80m_m2_123								Alphaproteobacteria non LD12			Bacteria	6	96.08	0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__;s__	d__Bacteria;p__;c__;o__;f__Xanthobacteraceae;g__;s__	Xanthobacteraceae bacterium K_Offshore_80m_m2_123 [Family]	97.78	2.22	0		0	123	5069	123	0.899	0.66	0	5150839	231357	231357	41877	41877	86493	86493	11	42	0	0	1	1	44
VGCY00000000	SAMN10966333	K_DeepCast_35m_m1_317								Alphaproteobacteria non LD12			Bacteria	2	72.55	5.88	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__	d__Bacteria;p__;c__;o__Rhodobacterales;f__;g__;s__	Rhodobacterales bacterium K_DeepCast_35m_m1_317 [Order]	66.97	8.08	17.78		0	869	2765	869	0.925	0.70	0	2203154	23735	23735	2535	2535	2542	2542	11	16	0	0	0	1	17
VGDH00000000	SAMN10966342	K_Offshore_40m_m1_238	Bacteria(100)	Proteobacteria(100)	Alphaproteobacteria(100)	Rhodobacterales(100)	Rhodobacteraceae(100)	Tabrizicola(82)	unclassified	Alphaproteobacteria non LD12			Bacteria	3	100	5.88	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__	d__Bacteria;p__;c__;o__Rhodobacterales;f__;g__;s__	Rhodobacterales bacterium K_Offshore_40m_m1_238 [Order]	98.12	2.27	41.67	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;uncultured bacterium	0	217	3324	217	0.905	0.63	0	3144613	98984	98984	14491	14491	23790	23790	11	43	0	0	0	1	44
VGDE00000000	SAMN10966339	M_DeepCast_400m_m1_328								Alphaproteobacteria non LD12			Bacteria	2	88.24	5.88	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__	d__Bacteria;p__;c__;o__Rhodobacterales;f__;g__Paracoccus;s__	Paracoccus sp. M_DeepCast_400m_m1_328 [Genus]	79.68	1.26	44.44		0	401	4093	401	0.860	0.64	0	3783435	73572	73572	9435	9435	13910	13910	11	38	0	0	0	1	39
VGDQ00000000	SAMN10966351	K_DeepCast_65m_m1_262								Alphaproteobacteria non LD12			Bacteria	9	68.63	5.88	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium K_DeepCast_65m_m1_262 [Domain]	69.53	8.5	88.46		0	792	2768	792	0.916	0.66	0	2171432	16360	16360	2742	2742	2829	2829	11	23	0	0	0	0	23
VGDV00000000	SAMN10966356	M_DeepCast_65m_m1_275								Alphaproteobacteria non LD12			Bacteria	1	90.2	9.8	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium M_DeepCast_65m_m1_275 [Domain]	82.59	2.85	37.5		0	654	2849	654	0.908	0.65	0	2465456	18332	18332	3770	3770	4445	4445	11	26	0	0	1	1	28
VGZQ00000000	SAMN10966925	M_DeepCast_65m_m2_266	Bacteria(100)	Proteobacteria(100)	Alphaproteobacteria(100)	unclassified	unclassified	unclassified	unclassified	Alphaproteobacteria non LD12			Bacteria	9	98.04	0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium M_DeepCast_65m_m2_266 [Domain]	98.63	1.51	50		0	156	3271	156	0.919	0.66	0	3199344	129344	129344	20509	20509	33568	33568	11	47	0	0	0	1	48
VGFI00000000	SAMN10966395	M_surface_7_m1_073								Bacteroidetes			Bacteria	3	66.67	0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA952;s__	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__;g__;s__	Flavobacteriales bacterium M_surface_7_m1_073 [Order]	24.86	2.16	20		0	129	833	129	0.942	0.37	0	746853	104893	104893	5790	5790	9868	9868	11	10	0	0	0	0	10
VGFJ00000000	SAMN10966396	M_surface_7_m1_092								Bacteroidetes			Bacteria	18	78.43	2.63	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA952;s__	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__;g__;s__	Flavobacteriales bacterium M_surface_7_m1_092 [Order]	31.08	1.89	100		0	119	717	119	0.937	0.37	0	619564	29206	29206	5206	5206	6674	6674	11	8	0	0	0	0	8
VGEM00000000	SAMN10966373	K_Offshore_80m_m2_101								Alphaproteobacteria non LD12			Bacteria	1	98.04	5.88	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium K_Offshore_80m_m2_101 [Domain]	94.22	1.06	8.33		0	577	4472	577	0.918	0.62	0	4121188	68655	68655	7142	7142	9752	9752	11	37	0	0	0	3	40
VGEX00000000	SAMN10966384	K_Offshore_surface_m2_020	Bacteria(100)	Proteobacteria(100)	Alphaproteobacteria(100)	Rickettsiales(100)	Rickettsiaceae(100)	Candidatus_Megaira(100)	unclassified	Alphaproteobacteria non LD12			Bacteria	6	100	0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__;s__	d__Bacteria;p__;c__;o__;f__Rickettsiaceae;g__;s__	Rickettsiaceae bacterium K_Offshore_surface_m2_020 [Family]	98.58	2.37	14.29	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;uncultured;Candidatus Megaira polyxenophila	0	74	1702	74	0.874	0.33	0	1657923	137451	137451	22404	22404	87305	87305	11	34	0	0	0	0	34
VGFM00000000	SAMN10966399	M_surface_8_m1_077								Bacteroidetes			Bacteria	18	96.08	5.88	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA952;s__	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__;g__;s__	Flavobacteriales bacterium M_surface_8_m1_077 [Order]	87.57	19.98	33.33		0	534	3573	534	0.922	0.37	0	3291715	66942	66942	6164	6164	8493	8493	11	39	0	0	1	4	44
VGDJ00000000	SAMN10966344	K_Offshore_40m_m2_131	Bacteria(93)	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Alphaproteobacteria non LD12			Bacteria	2	92.16	10.53	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__UBA1997;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium K_Offshore_40m_m2_131 [Domain]	87.85	5.14	42.86		0	211	1389	211	0.908	0.33	0	1285065	26764	26764	6090	6090	8790	8790	11	29	0	0	0	1	30
VGFO00000000	SAMN10966401	M_surface_8_mx_127	Eukaryota(100)	Ciliophora(100)	Intramacronucleata(100)	Conthreep(100)	Phyllopharyngea(100)	Acineta(93)	unclassified	Bacteroidetes			Bacteria	1	76.47	15.69	d__Bacteria;p__Bdellovibrionota;c__;o__;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium M_surface_8_mx_127 [Domain]	41.28	14.67	3.7		0	2230	4529	2230	0.847	0.41	0	3004736	5887	5887	1347	1347	1297	1297	11	70	0	0	1	6	77
VGDN00000000	SAMN10966348	M_DeepCast_50m_m1_063	Bacteria(98)	Proteobacteria(87)	unclassified	unclassified	unclassified	unclassified	unclassified	Alphaproteobacteria non LD12			Bacteria	1	92.16	5.88	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__UBA1997;g__UBA2645;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium M_DeepCast_50m_m1_063 [Domain]	87.36	2.43	0	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;uncultured bacterium	0	195	1289	195	0.925	0.44	0	1151043	19860	19860	5903	5903	7962	7962	11	22	0	0	0	0	22
VHBV00000000	SAMN10966982	M_surface_6_m2_121								Alphaproteobacteria non LD12			Bacteria	1	96.08	7.84	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__UBA1997;g__UBA2645;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium M_surface_6_m2_121 [Domain]	90.11	1.1	100		0	258	1556	258	0.898	0.31	0	1433922	35850	35850	5558	5558	8147	8147	11	27	0	0	0	0	27
VGDZ00000000	SAMN10966360	M_DeepCast_65m_m2_129	Bacteria(100)	Proteobacteria(100)	Alphaproteobacteria(100)	unclassified	unclassified	unclassified	unclassified	Alphaproteobacteria non LD12			Bacteria	1	98.04	0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__	d__Bacteria;p__;c__;o__Sneathiellales;f__;g__;s__	Sneathiellales bacterium M_DeepCast_65m_m2_129 [Order]	93.99	0.25	100	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;uncultured bacterium	0	166	3702	166	0.938	0.68	0	3694171	124890	124890	22254	22254	32122	32122	11	40	0	0	0	0	40
VGEA00000000	SAMN10966361	M_DeepCast_65m_m2_243								Alphaproteobacteria non LD12			Bacteria	1	98.04	7.89	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__	d__Bacteria;p__;c__;o__Sneathiellales;f__;g__;s__	Sneathiellales bacterium M_DeepCast_65m_m2_243 [Order]	90.09	7.43	83.33		0	1019	4675	1019	0.934	0.67	0	4012884	27030	27030	3938	3938	4613	4613	11	44	0	0	0	2	46
VGEJ00000000	SAMN10966370	K_Offshore_80m_m2_061	Bacteria(100)	Proteobacteria(100)	Alphaproteobacteria(100)	unclassified	unclassified	unclassified	unclassified	Alphaproteobacteria non LD12			Bacteria	1	90.2	15.69	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__	d__Bacteria;p__;c__;o__Sneathiellales;f__;g__;s__	Sneathiellales bacterium K_Offshore_80m_m2_061 [Order]	89.43	5.8	3.7	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;AT-s3-44;uncultured bacterium	0	454	3154	454	0.922	0.69	0	2772918	27454	27454	6108	6108	7742	7742	11	36	0	0	0	3	39
