NCBI Genome Submission ID,NCBI BioSample Submission ID,Genome (MAG Identifier),Genome completeness (CheckM),Genome contamination (CheckM),Manual Taxonomy,Taxonomy (GTDB-tk),Comparison of Manual Taxonomy (16RP) and GTDB-tk,Candidate phyla,DPANN,Domain,Number of MAG in cluster (dRep),Completeness (DasTool),Contamination (DasTool),TaxAss-kingdom,TaxAss-phylum,TaxAss-class,TaxAss-order,TaxAss-lineage,TaxAss-clade,TaxAss-tribe,Taxonomy (NCBI),Strain name,16S rRNA phylogeny (CheckM),Number of contigs,Number of  predicted genes,Number of scaffolds,Coding density,GC,Genome size (bp),Longest contig,Longest scaffold,Mean contig length,Mean scaffold length,N50 (contigs),N50 (scaffolds),Translation table,tRNAs decoding Standard 20 AA,Selenocysteine tRNAs,Possible suppressor tRNAs,tRNAs with undetermined/unknown isotypes,Predicted pseudogenes,Total tRNAs
VGEX00000000,SAMN10966384,K_Offshore_surface_m2_020,98.58,2.37,Alphaproteobacteria non LD12,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__;s__,Match,,,Bacteria,6,100,0,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Rickettsiales(100),Rickettsiaceae(100),Candidatus_Megaira(100),unclassified,d__Bacteria;p__;c__;o__;f__Rickettsiaceae;g__;s__,Rickettsiaceae bacterium K_Offshore_surface_m2_020 [Family],Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;uncultured;Candidatus Megaira polyxenophila,74,1702,74,0.874,0.33,1657923,137451,137451,22404,22404,87305,87305,11,34,0,0,0,0,34
VGDJ00000000,SAMN10966344,K_Offshore_40m_m2_131,87.85,5.14,Alphaproteobacteria non LD12,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__UBA1997;g__;s__,Match,,,Bacteria,2,92.16,10.53,Bacteria(93),unclassified,unclassified,unclassified,unclassified,unclassified,unclassified,d__Bacteria;p__;c__;o__;f__;g__;s__,Bacteria bacterium K_Offshore_40m_m2_131 [Domain],,211,1389,211,0.908,0.33,1285065,26764,26764,6090,6090,8790,8790,11,29,0,0,0,1,30
VGDN00000000,SAMN10966348,M_DeepCast_50m_m1_063,87.36,2.43,Alphaproteobacteria non LD12,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__UBA1997;g__UBA2645;s__,Match,,,Bacteria,1,92.16,5.88,Bacteria(98),Proteobacteria(87),unclassified,unclassified,unclassified,unclassified,unclassified,d__Bacteria;p__;c__;o__;f__;g__;s__,Bacteria bacterium M_DeepCast_50m_m1_063 [Domain],Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;uncultured bacterium,195,1289,195,0.925,0.44,1151043,19860,19860,5903,5903,7962,7962,11,22,0,0,0,0,22
VHBV00000000,SAMN10966982,M_surface_6_m2_121,90.11,1.1,Alphaproteobacteria non LD12,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__UBA1997;g__UBA2645;s__,Match,,,Bacteria,1,96.08,7.84,,,,,,,,d__Bacteria;p__;c__;o__;f__;g__;s__,Bacteria bacterium M_surface_6_m2_121 [Domain],,258,1556,258,0.898,0.31,1433922,35850,35850,5558,5558,8147,8147,11,27,0,0,0,0,27
VGDZ00000000,SAMN10966360,M_DeepCast_65m_m2_129,93.99,0.25,Alphaproteobacteria non LD12,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__,Match,,,Bacteria,1,98.04,0,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),unclassified,unclassified,unclassified,unclassified,d__Bacteria;p__;c__;o__Sneathiellales;f__;g__;s__,Sneathiellales bacterium M_DeepCast_65m_m2_129 [Order],Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;uncultured bacterium,166,3702,166,0.938,0.68,3694171,124890,124890,22254,22254,32122,32122,11,40,0,0,0,0,40
VGEA00000000,SAMN10966361,M_DeepCast_65m_m2_243,90.09,7.43,Alphaproteobacteria non LD12,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__,Match,,,Bacteria,1,98.04,7.89,,,,,,,,d__Bacteria;p__;c__;o__Sneathiellales;f__;g__;s__,Sneathiellales bacterium M_DeepCast_65m_m2_243 [Order],,1019,4675,1019,0.934,0.67,4012884,27030,27030,3938,3938,4613,4613,11,44,0,0,0,2,46
VGEJ00000000,SAMN10966370,K_Offshore_80m_m2_061,89.43,5.8,Alphaproteobacteria non LD12,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__,Match,,,Bacteria,1,90.2,15.69,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),unclassified,unclassified,unclassified,unclassified,d__Bacteria;p__;c__;o__Sneathiellales;f__;g__;s__,Sneathiellales bacterium K_Offshore_80m_m2_061 [Order],Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;AT-s3-44;uncultured bacterium,454,3154,454,0.922,0.69,2772918,27454,27454,6108,6108,7742,7742,11,36,0,0,0,3,39
VGEO00000000,SAMN10966375,K_Offshore_80m_m2_115,97.79,5.14,Alphaproteobacteria non LD12,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__,Match,,,Bacteria,6,100,1.96,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),unclassified,unclassified,unclassified,unclassified,d__Bacteria;p__;c__;o__Sneathiellales;f__;g__;s__,Sneathiellales bacterium K_Offshore_80m_m2_115 [Order],Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;MND8;uncultured soil bacterium,214,3711,214,0.916,0.67,3613993,114968,114968,16888,16888,28190,28190,11,45,0,0,0,0,45
VGER00000000,SAMN10966378,K_Offshore_80m_m2_162,93.48,1.91,Alphaproteobacteria non LD12,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__,Match,,,Bacteria,3,100,0,,,,,,,,d__Bacteria;p__;c__;o__Sneathiellales;f__;g__;s__,Sneathiellales bacterium K_Offshore_80m_m2_162 [Order],,162,2588,162,0.896,0.68,2362220,149899,149899,14582,14582,30700,30700,11,40,0,0,0,2,42
VGES00000000,SAMN10966379,K_Offshore_80m_m2_186,98.85,3.48,Alphaproteobacteria non LD12,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__,Match,,,Bacteria,5,100,0,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),unclassified,unclassified,unclassified,unclassified,d__Bacteria;p__;c__;o__Sneathiellales;f__;g__;s__,Sneathiellales bacterium K_Offshore_80m_m2_186 [Order],Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;AT-s3-44;uncultured bacterium,164,4033,164,0.924,0.65,3985234,198367,198367,24300,24300,59297,59297,11,54,0,0,0,1,55
VGEV00000000,SAMN10966382,K_Offshore_80m_m2_228,98.26,0,Alphaproteobacteria non LD12,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__,Match,,,Bacteria,6,98.04,2.63,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),unclassified,unclassified,unclassified,unclassified,d__Bacteria;p__;c__;o__Sneathiellales;f__;g__;s__,Sneathiellales bacterium K_Offshore_80m_m2_228 [Order],Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;Magnetospirillum sp. enrichment culture clone Van25,285,4086,285,0.921,0.68,3966172,68711,68711,13916,13916,21640,21640,11,42,0,1,1,3,47
VGDK00000000,SAMN10966345,K_Offshore_40m_m2_283,73.56,1.42,Alphaproteobacteria non LD12,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__,Match,,,Bacteria,3,66.67,3.92,,,,,,,,d__Bacteria;p__;c__;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__,Novosphingobium sp. K_Offshore_40m_m2_283 [Genus],,572,2645,572,0.903,0.65,2099710,20115,20115,3671,3671,4080,4080,11,30,0,0,0,0,30
VHAO00000000,SAMN10966949,K_DeepCast_1200m_m2_124,72.04,5.23,Alphaproteobacteria non LD12,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__,Match,,,Bacteria,2,68.63,5.26,,,,,,,,d__Bacteria;p__;c__;o__Sphingomonadales;f__Sphingomonadaceae;g__;s__,Sphingomonadaceae bacterium K_DeepCast_1200m_m2_124 [Family],,844,3096,844,0.913,0.67,2469348,13603,13603,2926,2926,3108,3108,11,27,0,0,0,1,28
VGDP00000000,SAMN10966350,M_DeepCast_50m_m2_221,97.26,2.34,Alphaproteobacteria non LD12,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA828;f__;g__;s__,Match,,,Bacteria,13,100,0,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Puniceispirillales(100),EF100-94H03(100),unclassified,unclassified,d__Bacteria;p__;c__;o__;f__;g__;s__,Bacteria bacterium M_DeepCast_50m_m2_221 [Domain],Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;EF100-94H03;uncultured bacterium,97,3632,97,0.913,0.70,3486062,234894,234894,35939,35939,66499,66499,11,46,0,0,0,0,46
VGET00000000,SAMN10966380,K_Offshore_80m_m2_187,95.9,4.39,Alphaproteobacteria non LD12,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA828;f__;g__;s__,Match,,,Bacteria,6,98.04,3.92,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),unclassified,unclassified,unclassified,unclassified,d__Bacteria;p__;c__;o__;f__;g__;s__,Bacteria bacterium K_Offshore_80m_m2_187 [Domain],Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;uncultured bacterium,395,3541,395,0.906,0.66,3477454,71467,71467,8804,8804,12307,12307,11,37,0,0,0,0,37
VGEZ00000000,SAMN10966386,K_DeepCast_100m_m2_289,71.63,4.45,Armatimonadetes,d__Bacteria;p__Armatimonadota;c__;o__;f__;g__;s__,Match,,,Bacteria,1,76.47,3.92,,,,,,,,d__Bacteria;p__Armatimonadota;c__;o__;f__;g__;s__,Armatimonadota bacterium K_DeepCast_100m_m2_289 [Phylum],,1353,5050,1353,0.901,0.66,4707799,15572,15572,3480,3480,3884,3884,11,33,0,0,0,2,35
VGFA00000000,SAMN10966387,K_DeepCast_1200m_m2_191,94.91,0.19,Armatimonadetes,d__Bacteria;p__Firmicutes_H;c__CSP1-3;o__CSP1-3;f__;g__;s__,Not a match,,,Bacteria,9,96.08,0,Bacteria(100),GAL15(100),unclassified,unclassified,unclassified,unclassified,unclassified,d__Bacteria;p__;c__;o__;f__;g__;s__,Bacteria bacterium K_DeepCast_1200m_m2_191 [Domain],Bacteria;GAL15;uncultured bacterium,48,2522,48,0.936,0.67,2535439,262810,262810,52822,52822,90116,90116,11,46,0,1,0,1,48
VGFB00000000,SAMN10966388,K_DeepCast_150m_m2_147,75.26,3.15,Armatimonadetes,d__Bacteria;p__Armatimonadota;c__UBA5377;o__;f__;g__;s__,Match,,,Bacteria,2,90.2,5.88,,,,,,,,d__Bacteria;p__Armatimonadota;c__;o__;f__;g__;s__,Armatimonadota bacterium K_DeepCast_150m_m2_147 [Phylum],,1455,5877,1455,0.914,0.69,6340464,33094,33094,4358,4358,5049,5049,11,44,0,0,0,2,46
VGFC00000000,SAMN10966389,K_DeepCast_250m_m2_231,92.59,3.4,Armatimonadetes,d__Bacteria;p__Armatimonadota;c__UBA5377;o__;f__;g__;s__,Match,,,Bacteria,5,96.08,7.84,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified,d__Bacteria;p__Armatimonadota;c__;o__;f__;g__;s__,Armatimonadota bacterium K_DeepCast_250m_m2_231 [Phylum],Bacteria;WS1;uncultured bacterium,723,6357,723,0.915,0.68,7870969,104406,104406,10887,10887,16033,16033,11,44,0,0,0,3,47
VGFD00000000,SAMN10966390,M_DeepCast_50m_m2_086,95.83,7.97,Armatimonadetes,d__Bacteria;;c__;o__;f__;g__;s__,"Not a match, only classified to Bacteria in GTDB",,,Bacteria,4,92.16,13.73,,,,,,,,d__Bacteria;c__;o__;f__;g__;s__,Bacteria bacterium M_DeepCast_50m_m2_086 [Domain],,956,6320,956,0.904,0.66,6098583,45533,45533,6379,6379,8889,8889,11,44,0,0,1,4,49
VGFE00000000,SAMN10966391,M_DeepCast_50m_m2_207,55.22,2.08,Armatimonadetes,d__Bacteria;p__Armatimonadota;c__;o__;f__;g__;s__,Match,,,Bacteria,1,66.67,9.8,,,,,,,,d__Bacteria;p__Armatimonadota;c__;o__;f__;g__;s__,Armatimonadota bacterium M_DeepCast_50m_m2_207 [Phylum],,1473,4225,1473,0.900,0.67,3657039,10292,10292,2483,2483,2520,2520,11,26,0,0,0,3,29
VGFF00000000,SAMN10966392,K_Offshore_80m_m1_225,88.89,2.42,Armatimonadetes,d__Bacteria;;c__;o__;f__;g__;s__,"Not a match, only classified to Bacteria in GTDB",,,Bacteria,2,98.04,3.92,,,,,,,,d__Bacteria;c__;o__;f__;g__;s__,Bacteria bacterium K_Offshore_80m_m1_225 [Domain],,218,2333,218,0.919,0.68,2099479,41081,41081,9631,9631,15023,15023,11,39,0,0,0,1,40
VGFH00000000,SAMN10966394,M_surface_6_mx_051,54.05,7.61,Bacteroidetes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA952;s__,Match,,,Bacteria,4,78.43,3.92,,,,,,,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__;g__;s__,Flavobacteriales bacterium M_surface_6_mx_051 [Order],,866,3935,866,0.875,0.36,3429656,74542,74542,3960,3960,6026,6026,11,56,0,0,0,1,57
VGFK00000000,SAMN10966397,M_surface_7_m2_191,90.64,0.25,Bacteroidetes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__;s__,Match,,,Bacteria,18,98.04,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Chitinophagales(100),Chitinophagaceae(100),Dinghuibacter(100),unclassified,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__;s__,Chitinophagaceae bacterium M_surface_7_m2_191 [Family],Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Dinghuibacter;uncultured bacterium,11,1597,11,0.958,0.47,1753866,542895,542895,159442,159442,375035,375035,11,30,0,0,0,0,30
VGFL00000000,SAMN10966398,M_surface_7_m2_242,98.11,0,Bacteroidetes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__;s__,Match,,,Bacteria,21,100,3.92,,,,,,,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__;g__;s__,Flavobacteriales bacterium M_surface_7_m2_242 [Order],,128,2076,128,0.942,0.35,2200311,58648,58648,17190,17190,26514,26514,11,33,0,0,0,2,35
VGFN00000000,SAMN10966400,M_surface_8_m2_110,78.51,1.92,Bacteroidetes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__;f__;g__;s__,Match,,,Bacteria,40,92.16,3.92,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__;f__;g__;s__,Bacteroidia bacterium M_surface_8_m2_110 [Class],,199,1385,199,0.955,0.51,1416275,72654,72654,7117,7117,11357,11357,11,25,0,0,0,1,26
VGFP00000000,SAMN10966402,M_surface_9_m1_013,81.77,0.25,Bacteroidetes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__;s__,Match,,,Bacteria,22,90.2,2.63,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Chitinophagales(100),Chitinophagaceae(100),Dinghuibacter(100),unclassified,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__;s__,Chitinophagaceae bacterium M_surface_9_m1_013 [Family],Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Dinghuibacter;uncultured bacterium,14,1299,14,0.948,0.41,1434524,549120,549120,102466,102466,430371,430371,11,30,0,0,0,0,30
VGFQ00000000,SAMN10966403,M_surface_9_m1_241,84.73,0.74,Bacteroidetes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__;s__,Match,,,Bacteria,21,90.2,1.96,,,,,,,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__;s__,Chitinophagaceae bacterium M_surface_9_m1_241 [Family],,33,2413,33,0.920,0.55,2847907,493717,493717,86300,86300,199787,199787,11,32,0,0,0,0,32
VGFR00000000,SAMN10966404,M_surface_9_m1_277,96.15,2.36,Bacteroidetes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__;s__,Match,,,Bacteria,2,92.16,5.88,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),unclassified,unclassified,unclassified,unclassified,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__;g__;s__,Flavobacteriales bacterium M_surface_9_m1_277 [Order],Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NS9 marine group;uncultured bacterium,216,1996,216,0.962,0.40,2073851,67375,67375,9601,9601,14802,14802,11,30,0,0,0,0,30
VGFS00000000,SAMN10966405,M_surface_9_m1_279,98.09,0.02,Bacteroidetes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA955;g__UBA955;s__,Match,,,Bacteria,4,98.04,1.96,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Sphingobacteriales(100),NS11-12_marine_group(100),unclassified,unclassified,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__;f__;g__;s__,Bacteroidia bacterium M_surface_9_m1_279 [Class],Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group;uncultured Flavobacterium sp.,79,1793,79,0.949,0.47,2065080,120924,120924,26140,26140,46535,46535,11,34,0,0,0,0,34
VGFT00000000,SAMN10966406,M_surface_9_m1_282,93.6,0,Bacteroidetes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__,Match,,,Bacteria,21,100,1.96,Bacteria(99),Bacteroidetes(98),Bacteroidia(98),Chitinophagales(90),Chitinophagaceae(90),unclassified,unclassified,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__;s__,Chitinophagaceae bacterium M_surface_9_m1_282 [Family],,10,1842,10,0.940,0.49,2030142,543733,543733,203014,203014,315513,315513,11,32,0,0,0,1,33
VGFU00000000,SAMN10966407,M_surface_9_m2_088,93.91,0.54,Bacteroidetes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__Coccinistipes;s__,Match,,,Bacteria,18,100,1.96,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Flavobacteriales(100),Cryomorphaceae(100),unclassified,unclassified,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__;s__,Cryomorphaceae bacterium M_surface_9_m2_088 [Family],Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;uncultured;uncultured bacterium,70,1511,70,0.956,0.59,1617339,168070,168070,23105,23105,52369,52369,11,34,0,0,0,1,35
VGFV00000000,SAMN10966408,M_surface_9_mx_130,78.06,2.89,Bacteroidetes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__;s__,Match,,,Bacteria,2,94.12,5.88,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Chitinophagales(97),Chitinophagaceae(97),unclassified,unclassified,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__;s__,Chitinophagaceae bacterium M_surface_9_mx_130 [Family],,524,2012,524,0.925,0.45,1775146,34017,34017,3388,3388,4357,4357,11,25,0,0,0,1,26
VGFW00000000,SAMN10966409,M_surface_9_mx_152,88.68,5.12,Bacteroidetes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__;s__,Match,,,Bacteria,1,96.08,17.65,,,,,,,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__;g__;s__,Flavobacteriales bacterium M_surface_9_mx_152 [Order],,680,2449,680,0.952,0.43,2170035,24904,24904,3191,3191,4237,4237,11,26,0,0,0,0,26
VGFY00000000,SAMN10966411,M_surface_10_m2_196,65.73,1.5,Bacteroidetes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Algoriphagus;s__,Match,,,Bacteria,1,62.75,7.89,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Cytophagales(100),Cyclobacteriaceae(100),Algoriphagus(95),unclassified,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Algoriphagus;s__,Algoriphagus sp. M_surface_10_m2_196 [Genus],Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae;uncultured;uncultured Bacteroidetes bacterium,486,1959,486,0.919,0.45,1711764,19937,19937,3522,3522,3732,3732,11,16,0,0,0,0,16
VGGA00000000,SAMN10966413,K_DeepCast_0m_m2_115,78.05,2.7,Bacteroidetes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA952;s__,Match,,,Bacteria,2,92.16,7.84,,,,,,,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__;g__;s__,Flavobacteriales bacterium K_DeepCast_0m_m2_115 [Order],,540,2203,540,0.946,0.37,1954571,16962,16962,3620,3620,4112,4112,11,23,0,0,0,0,23
VGGH00000000,SAMN10966420,K_DeepCast_100m_m2_150,72.43,0,Bacteroidetes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA952;s__,Match,,,Bacteria,23,92.16,2.63,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Flavobacteriales(100),Crocinitomicaceae(100),Fluviicola(100),unclassified,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__;g__;s__,Flavobacteriales bacterium K_DeepCast_100m_m2_150 [Order],Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Fluviicola;uncultured bacterium,49,1546,49,0.957,0.43,1714580,124829,124829,34991,34991,72480,72480,11,24,0,0,0,0,24
VGGI00000000,SAMN10966421,K_DeepCast_100m_m2_162,74.61,3.69,Bacteroidetes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__,Match,,,Bacteria,3,92.16,9.8,,,,,,,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__,Bacteroidales bacterium K_DeepCast_100m_m2_162 [Order],,922,3326,922,0.891,0.41,3128383,19026,19026,3393,3393,3781,3781,11,30,0,0,0,0,30
VGGL00000000,SAMN10966424,K_DeepCast_150m_m2_049,96.77,2.69,Bacteroidetes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__,Match,,,Bacteria,5,100,1.96,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Sphingobacteriales(100),KD1-131(100),unclassified,unclassified,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__,Bacteroidales bacterium K_DeepCast_150m_m2_049 [Order],Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;KD1-131;uncultured bacterium,224,2578,224,0.921,0.47,2839959,101577,101577,12678,12678,22674,22674,11,40,0,0,0,0,40
VGGM00000000,SAMN10966425,K_DeepCast_150m_m2_259,80.21,3.1,Bacteroidetes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__vadinHA17;g__;s__,Match,,,Bacteria,2,76.47,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidetes_vadinHA17(100),unclassified,unclassified,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__,Bacteroidales bacterium K_DeepCast_150m_m2_259 [Order],Bacteria;Bacteroidetes;Bacteroidetes vadinHA17;uncultured bacterium,505,2313,505,0.933,0.48,2250735,15485,15485,4457,4457,5136,5136,11,29,0,0,0,0,29
VGGQ00000000,SAMN10966429,K_DeepCast_35m_m2_065,93.1,0.59,Bacteroidetes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA955;g__;s__,Match,,,Bacteria,20,98.04,5.88,,,,,,,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__;f__;g__;s__,Bacteroidia bacterium K_DeepCast_35m_m2_065 [Class],,163,1880,163,0.935,0.45,1900281,88254,88254,11658,11658,16587,16587,11,31,0,0,0,0,31
VGGR00000000,SAMN10966430,M_DeepCast_50m_m1_018,95.07,0,Bacteroidetes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__,Match,,,Bacteria,13,94.12,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Chitinophagales(100),Chitinophagaceae(100),Terrimonas(100),unclassified,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__;s__,Chitinophagaceae bacterium M_DeepCast_50m_m1_018 [Family],Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Terrimonas;uncultured bacterium,20,1568,20,0.944,0.42,1767145,394873,394873,88357,88357,237294,237294,11,40,0,0,0,0,40
VGGS00000000,SAMN10966431,M_DeepCast_50m_m1_274,70.16,3.57,Bacteroidetes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA952;s__,Match,,,Bacteria,18,90.2,11.76,,,,,,,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__;g__;s__,Flavobacteriales bacterium M_DeepCast_50m_m1_274 [Order],,604,2497,604,0.919,0.38,2166413,21561,21561,3587,3587,4008,4008,11,28,0,0,0,0,28
VGGT00000000,SAMN10966432,M_DeepCast_50m_m1_285,84.13,2.32,Bacteroidetes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__;f__;g__;s__,Match,,,Bacteria,8,98.04,7.89,,,,,,,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__;f__;g__;s__,Bacteroidia bacterium M_DeepCast_50m_m1_285 [Class],,338,1904,338,0.947,0.51,2045854,51621,51621,6053,6053,8054,8054,11,31,0,0,0,1,32
