Genome	Genome_completeness	Genome_contamination	Manual_Taxonomy	Taxonomy_GTDB-tk	TaxAss_combined	Match
K_Offshore_surface_m2_020	98.58	2.37	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__;s__	Bacteria(100); Proteobacteria(100); Alphaproteobacteria(100); Rickettsiales(100); Rickettsiaceae(100); Candidatus_Megaira(100); unclassified	Yes
K_Offshore_40m_m2_131	87.85	5.14	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__UBA1997;g__;s__	Bacteria(93); unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes
M_DeepCast_50m_m1_063	87.36	2.43	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__UBA1997;g__UBA2645;s__	Bacteria(98); Proteobacteria(87); unclassified; unclassified; unclassified; unclassified; unclassified	Yes
M_DeepCast_65m_m2_129	93.99	0.25	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__	Bacteria(100); Proteobacteria(100); Alphaproteobacteria(100); unclassified; unclassified; unclassified; unclassified	Yes
K_Offshore_80m_m2_061	89.43	5.8	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__	Bacteria(100); Proteobacteria(100); Alphaproteobacteria(100); unclassified; unclassified; unclassified; unclassified	Yes
K_Offshore_80m_m2_115	97.79	5.14	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__	Bacteria(100); Proteobacteria(100); Alphaproteobacteria(100); unclassified; unclassified; unclassified; unclassified	Yes
K_Offshore_80m_m2_186	98.85	3.48	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__	Bacteria(100); Proteobacteria(100); Alphaproteobacteria(100); unclassified; unclassified; unclassified; unclassified	Yes
K_Offshore_80m_m2_228	98.26	0	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__	Bacteria(100); Proteobacteria(100); Alphaproteobacteria(100); unclassified; unclassified; unclassified; unclassified	Yes
M_DeepCast_50m_m2_221	97.26	2.34	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA828;f__;g__;s__	Bacteria(100); Proteobacteria(100); Alphaproteobacteria(100); Puniceispirillales(100); EF100-94H03(100); unclassified; unclassified	Yes
K_Offshore_80m_m2_187	95.9	4.39	Alphaproteobacteria non LD12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA828;f__;g__;s__	Bacteria(100); Proteobacteria(100); Alphaproteobacteria(100); unclassified; unclassified; unclassified; unclassified	Yes
K_DeepCast_100m_m2_289	71.63	4.45	Armatimonadetes	d__Bacteria;p__Armatimonadota;c__;o__;f__;g__;s__		
K_DeepCast_150m_m2_147	75.26	3.15	Armatimonadetes	d__Bacteria;p__Armatimonadota;c__UBA5377;o__;f__;g__;s__		
M_DeepCast_50m_m2_086	95.83	7.97	Armatimonadetes	d__Bacteria;;c__;o__;f__;g__;s__		
M_DeepCast_50m_m2_207	55.22	2.08	Armatimonadetes	d__Bacteria;p__Armatimonadota;c__;o__;f__;g__;s__		
K_Offshore_80m_m1_225	88.89	2.42	Armatimonadetes	d__Bacteria;;c__;o__;f__;g__;s__		
K_DeepCast_250m_m2_231	92.59	3.4	Armatimonadetes	d__Bacteria;p__Armatimonadota;c__UBA5377;o__;f__;g__;s__	unclassified; unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes for RP16 and GTDB but unclassified by TaxAss
K_DeepCast_1200m_m2_191	94.91	0.19	Armatimonadetes	d__Bacteria;p__Firmicutes_H;c__CSP1-3;o__CSP1-3;f__;g__;s__	Bacteria(100); GAL15(100); unclassified; unclassified; unclassified; unclassified; unclassified	Inconsistant assignment with all three
M_surface_6_mx_051	54.05	7.61	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA952;s__		
M_surface_7_m2_242	98.11	0	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__;s__		
M_surface_9_m1_241	84.73	0.74	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__;s__		
M_surface_9_mx_152	88.68	5.12	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__;s__		
K_DeepCast_0m_m2_115	78.05	2.7	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA952;s__		
K_DeepCast_100m_m2_162	74.61	3.69	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__		
K_DeepCast_35m_m2_065	93.1	0.59	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA955;g__;s__		
M_DeepCast_50m_m1_274	70.16	3.57	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA952;s__		
M_DeepCast_50m_m1_285	84.13	2.32	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__;f__;g__;s__		
K_Offshore_surface_m2_247	95.99	1.48	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter_A;s__		
M_surface_9_m2_059	92.16	1.44	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA952;s__		
M_surface_9_m2_064	92.06	1.08	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA952;s__		
K_Offshore_40m_m1_251	97.43	4.19	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Algoriphagus;s__		
K_Offshore_0m_mx_046	61.06	3.6	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__;f__;g__;s__		
M_surface_10_m2_039	72.26	7.05	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA955;g__UBA955;s__		
K_Offshore_120m_mx_094	68.92	5.9	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__;f__;g__;s__		
K_Offshore_40m_m1_004	94.83	1.63	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__		
M_DeepCast_50m_m2_146	92.44	3.27	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__;f__;g__;s__		
M_DeepCast_50m_m2_245	94.37	1.67	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__;f__;g__;s__		
K_Offshore_surface_m2_088	80.35	5.11	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__;f__;g__;s__		
K_DeepCast_35m_m1_052	65.55	3.33	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__;f__;g__;s__	Bacteria(85); unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes for RP16 and GTDB but unclassified by TaxAss
M_surface_8_m2_110	78.51	1.92	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__;f__;g__;s__	unclassified; unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes for RP16 and GTDB but unclassified by TaxAss
K_Offshore_surface_mx_261	72.56	8.47	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__;f__;g__;s__	unclassified; unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes for RP16 and GTDB but unclassified by TaxAss
K_DeepCast_150m_m2_049	96.77	2.69	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	Bacteria(100); Bacteroidetes(100); Bacteroidia(100); Sphingobacteriales(100); KD1-131(100); unclassified; unclassified	Yes
K_DeepCast_150m_m2_259	80.21	3.1	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__vadinHA17;g__;s__	Bacteria(100); Bacteroidetes(100); Bacteroidia(100); Bacteroidales(100); Bacteroidetes_vadinHA17(100); unclassified; unclassified	Yes
M_surface_7_m2_191	90.64	0.25	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__;s__	Bacteria(100); Bacteroidetes(100); Bacteroidia(100); Chitinophagales(100); Chitinophagaceae(100); Dinghuibacter(100); unclassified	Yes
M_surface_9_m1_013	81.77	0.25	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__;s__	Bacteria(100); Bacteroidetes(100); Bacteroidia(100); Chitinophagales(100); Chitinophagaceae(100); Dinghuibacter(100); unclassified	Yes
M_surface_9_mx_130	78.06	2.89	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__;s__	Bacteria(100); Bacteroidetes(100); Bacteroidia(100); Chitinophagales(97); Chitinophagaceae(97); unclassified; unclassified	Yes
M_DeepCast_50m_m1_018	95.07	0	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__	Bacteria(100); Bacteroidetes(100); Bacteroidia(100); Chitinophagales(100); Chitinophagaceae(100); Terrimonas(100); unclassified	Yes
K_DeepCast_0m_m2_222	93.07	0	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__	Bacteria(100); Bacteroidetes(100); Bacteroidia(100); Chitinophagales(100); Chitinophagaceae(100); Terrimonas(100); unclassified	Yes
K_Offshore_80m_m1_206	97.54	0.74	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__	Bacteria(100); Bacteroidetes(100); Bacteroidia(100); Chitinophagales(100); Chitinophagaceae(100); unclassified; unclassified	Yes
M_DeepCast_65m_mx_068	94.01	0.49	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__	Bacteria(100); Proteobacteria(100); Gammaproteobacteria(100); Betaproteobacteriales(100); Methylophilaceae(100); Methylotenera(99); unclassified	Yes
M_surface_9_m1_282	93.6	0	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__	Bacteria(99); Bacteroidetes(98); Bacteroidia(98); Chitinophagales(90); Chitinophagaceae(90); unclassified; unclassified	Yes
M_surface_9_m1_296	92.62	0.5	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__	unclassified; unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes for RP16 and GTDB but unclassified by TaxAss
M_surface_10_m2_196	65.73	1.5	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Algoriphagus;s__	Bacteria(100); Bacteroidetes(100); Bacteroidia(100); Cytophagales(100); Cyclobacteriaceae(100); Algoriphagus(95); unclassified	Yes
K_Offshore_40m_m2_287	99.73	0	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__	Bacteria(100); Bacteroidetes(100); Bacteroidia(100); Cytophagales(100); Microscillaceae(100); unclassified; unclassified	Yes
K_DeepCast_35m_m2_130	96.67	0.4	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__;g__;s__	Bacteria(100); Bacteroidetes(100); Bacteroidia(100); Bacteroidetes_VC2.1_Bac22(99); unclassified; unclassified; unclassified	Yes
K_DeepCast_100m_m2_150	72.43	0	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA952;s__	Bacteria(100); Bacteroidetes(100); Bacteroidia(100); Flavobacteriales(100); Crocinitomicaceae(100); Fluviicola(100); unclassified	Yes
K_Offshore_surface_m2_005	97.28	0	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA952;s__	Bacteria(100); Bacteroidetes(100); Bacteroidia(100); Flavobacteriales(100); Crocinitomicaceae(100); Fluviicola(100); unclassified	Yes
M_surface_9_mx_199	99.73	0.54	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA952;s__	Bacteria(100); Bacteroidetes(100); Bacteroidia(100); Flavobacteriales(100); Crocinitomicaceae(100); Fluviicola(100); unclassified	Yes
M_surface_9_m2_088	93.91	0.54	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__Coccinistipes;s__	Bacteria(100); Bacteroidetes(100); Bacteroidia(100); Flavobacteriales(100); Cryomorphaceae(100); unclassified; unclassified	Yes
M_surface_9_m1_277	96.15	2.36	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__;s__	Bacteria(100); Bacteroidetes(100); Bacteroidia(100); unclassified; unclassified; unclassified; unclassified	Yes
M_surface_9_m1_271	96.27	0.55	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA955;g__;s__	Bacteria(100); Bacteroidetes(100); Bacteroidia(100); Sphingobacteriales(100); NS11-12_marine_group(100); unclassified; unclassified	Yes
M_surface_9_m1_279	98.09	0.02	Bacteroidetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA955;g__UBA955;s__	Bacteria(100); Bacteroidetes(100); Bacteroidia(100); Sphingobacteriales(100); NS11-12_marine_group(100); unclassified; unclassified	Yes
K_Offshore_120m_m2_141	84.1	9.85	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__;g__;s__		
K_Offshore_40m_mx_035	96.88	3.92	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__;s__		
M_surface_10_m1_315	68.73	2.23	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Limnohabitans;s__		
K_Offshore_120m_m1_203	74.14	2.06	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Limnohabitans;s__		
K_DeepCast_35m_m1_018	93.23	1.39	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__UBA2463;s__		
K_Offshore_40m_m2_080	90.98	7.08	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__UBA3064;s__		
K_Offshore_surface_m2_092	68.85	6.12	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__UBA3064;s__		
K_DeepCast_150m_m2_250	84.47	1.58	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Hydrogenophilaceae;g__;s__		
M_DeepCast_65m_m2_126	97.44	0	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Methylophilaceae;g__Methylotenera;s__		
M_DeepCast_100m_m1_373	95.73	1.81	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Rhodocyclaceae;g__UTPRO2;s__		
K_DeepCast_35m_m2_259	77.09	4.59	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__SG8-39;g__;s__		
K_Offshore_40m_m2_212	55.83	3.74	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__SG8-39;g__;s__		
K_Offshore_80m_m2_043	73.78	3.4	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__SG8-39;g__;s__		
K_Offshore_40m_m1_292	73.3	1.33	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__SG8-41;g__;s__		
K_Offshore_80m_m1_178	96.56	1.26	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__SG8-41;g__;s__		
M_surface_9_m1_249	99.14	0.26	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__;s__	Bacteria(100); Proteobacteria(100); Gammaproteobacteria(100); Betaproteobacteriales(100); Burkholderiaceae(100); Sphaerotilus(100); unclassified	Yes although TaxAss puts Betaproteobacteriales under Gammaproteobacteria
M_surface_7_m1_304	95.83	3.29	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__;s__	Bacteria(100); Proteobacteria(100); Gammaproteobacteria(100); Betaproteobacteriales(100); Burkholderiaceae(100); unclassified; unclassified	Yes although TaxAss puts Betaproteobacteriales under Gammaproteobacteria
K_Offshore_40m_m1_237	98.36	4.09	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__;s__	Bacteria(100); Proteobacteria(100); Gammaproteobacteria(100); Betaproteobacteriales(100); Burkholderiaceae(100); unclassified; unclassified	Yes although TaxAss puts Betaproteobacteriales under Gammaproteobacteria
K_DeepCast_35m_m1_286	94.29	2.05	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__;s__	Bacteria(100); Proteobacteria(100); Gammaproteobacteria(100); Betaproteobacteriales(100); Burkholderiaceae(99); Limnobacter(95); unclassified	Yes although TaxAss puts Betaproteobacteriales under Gammaproteobacteria
K_Offshore_surface_m1_273	67.53	6.1	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__;s__	Bacteria(82); unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes for RP16 and GTDB but unclassified by TaxAss
K_Offshore_surface_m1_010	91.14	1.28	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Polynucleobacter;s__	Bacteria(100); Proteobacteria(100); Gammaproteobacteria(100); Betaproteobacteriales(100); betII(100); Pnec(100); PnecB(100)	Yes although TaxAss puts Betaproteobacteriales under Gammaproteobacteria
M_DeepCast_100m_m2_214	95.12	0.41	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__UBA2463;s__	Bacteria(100); Proteobacteria(100); Gammaproteobacteria(100); Betaproteobacteriales(100); Burkholderiaceae(100); MWH-UniP1_aquatic_group(96); unclassified	Yes although TaxAss puts Betaproteobacteriales under Gammaproteobacteria
K_DeepCast_150m_m1_387	97.71	2.19	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Hydrogenophilaceae;g__UBA3361;s__	Bacteria(100); Proteobacteria(100); Gammaproteobacteria(100); Betaproteobacteriales(100); Hydrogenophilaceae(100); unclassified; unclassified	Yes although TaxAss puts Betaproteobacteriales under Gammaproteobacteria
K_DeepCast_65m_m2_129	98.46	1.66	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__SG8-39;g__;s__	Bacteria(100); Proteobacteria(100); Gammaproteobacteria(100); Betaproteobacteriales(100); Nitrosomonadaceae(100); MND1(100); unclassified	Yes although TaxAss puts Betaproteobacteriales under Gammaproteobacteria
K_Offshore_40m_m1_259	72.5	6.71	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__SG8-39;g__;s__	Bacteria(92); Proteobacteria(82); unclassified; unclassified; unclassified; unclassified; unclassified	Yes for RP16 and GTDB but could not get the same resolution with TaxAss
K_Offshore_80m_m2_113	95.18	0.33	Betaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__SG8-41;g__;s__	Bacteria(100); Proteobacteria(100); Gammaproteobacteria(100); Betaproteobacteriales(100); TRA3-20(100); unclassified; unclassified	Yes although TaxAss puts Betaproteobacteriales under Gammaproteobacteria
M_DeepCast_400m_m2_340	57.03	0	Calditrichaeota	d__Bacteria;;c__;o__;f__;g__;s__		
K_DeepCast_250m_m2_227	97.19	2.2	Calditrichaeota	d__Bacteria;;c__;o__;f__;g__;s__	Bacteria(100); unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Classified with RP16 only to Bacteria level with GTDB and TaxAss
M_DeepCast_65m_m1_265	97.8	0	Calditrichaeota	d__Bacteria;;c__;o__;f__;g__;s__	Bacteria(99); unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Classified with RP16 only to Bacteria level with GTDB and TaxAss
M_surface_7_m1_001	89.3	2.88	Chlamydiae	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiia;o__;f__;g__;s__		
K_Offshore_120m_m2_055	80.11	8.11	Chlamydiae	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiia;o__Parachlamydiales;f__Ga0074140;g__;s__		
K_DeepCast_35m_m1_012	93.24	1.77	Chlamydiae	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiia;o__;f__;g__;s__		
M_DeepCast_50m_m2_194	60.59	0.68	Chlamydiae	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiia;o__Parachlamydiales;f__SM23-39;g__;s__		
K_DeepCast_35m_m2_096	88.51	0	Chlamydiae	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiia;o__;f__;g__;s__	Bacteria(81); unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes although GTDB puts Chlamydiia under Verrucomicrobia and TaxAss was only to Bacteria level
K_DeepCast_35m_m1_073	57.58	1.05	Chlamydiae	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiia;o__;f__;g__;s__	Bacteria(98); Chlamydiae(98); Chlamydiae(98); Chlamydiales(98); unclassified; unclassified; unclassified	Yes although GTDB puts Chlamydiia under Verrucomicrobia
K_DeepCast_35m_m2_204	87.16	0.34	Chlamydiae	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiia;o__;f__;g__;s__	unclassified; unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes although GTDB puts Chlamydiia under Verrucomicrobia TaxAss did not arrive to a classification
M_surface_9_m2_137	89.23	2.23	Chlamydiae	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiia;o__Parachlamydiales;f__Ga0074140;g__;s__	Bacteria(100); Chlamydiae(100); Chlamydiae(100); Chlamydiales(100); Simkaniaceae(100); unclassified; unclassified	Yes although GTDB puts Chlamydiia under Verrucomicrobia
M_DeepCast_50m_m2_029	76.45	1.58	Chlamydiae	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiia;o__Parachlamydiales;f__Simkaniaceae;g__;s__	Bacteria(100); Chlamydiae(100); Chlamydiae(100); Chlamydiales(100); Simkaniaceae(96); unclassified; unclassified	Yes although GTDB puts Chlamydiia under Verrucomicrobia
K_DeepCast_1200m_m2_283	97.79	4.42	Chlorobi	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__		
M_DeepCast_65m_m2_268	99.45	0.83	Chlorobi	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__		
K_DeepCast_1200m_m1_255	79.91	3.47	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA1429;f__UBA1429;g__;s__		
K_DeepCast_150m_m2_071	89.77	3.48	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__;s__		
M_DeepCast_200m_m2_194	91.75	3.08	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__;f__;g__;s__		
M_DeepCast_400m_m2_269	52.44	0.09	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__;g__;s__		
M_DeepCast_400m_m2_351	61.13	5.69	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__;f__;g__;s__		
K_Offshore_80m_m1_189	97.69	4.95	Chloroflexi	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__;s__		
K_Offshore_80m_m2_157	78.83	2.78	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__P2-11E;f__P2-11E;g__;s__		
K_Offshore_80m_m2_197	89.35	3.32	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__;s__		
K_DeepCast_65m_m1_015	57.24	9.08	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__;f__;g__;s__		
K_Offshore_80m_m1_004	81.08	1.98	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__;g__;s__		
M_DeepCast_100m_mx_312	70.79	4.16	Chloroflexi	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__;s__	Bacteria(100); Chloroflexi(95); unclassified; unclassified; unclassified; unclassified; unclassified	Yes
K_DeepCast_250m_m1_199	90.52	3.24	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__;f__;g__;s__	Bacteria(100); Chloroflexi(100); Anaerolineae(100); RBG-13-54-9(100); unclassified; unclassified; unclassified	Yes
K_DeepCast_250m_m2_061	95.91	4.91	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__;f__;g__;s__	Bacteria(100); Chloroflexi(100); Anaerolineae(100); SJA-15(100); unclassified; unclassified; unclassified	Yes
K_DeepCast_250m_m2_317	90.45	2.64	Chloroflexi	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__;f__;g__;s__	Bacteria(100); Chloroflexi(100); Anaerolineae(100); Thermoflexales(100); Thermoflexaceae(100); Thermoflexus(100); unclassified	Yes
